author_id	full_name	first_name	n_pubs	gender	discipline
44192547	handelberg, f	frank	8	m	CLINICAL MEDICINE
8706831	peeters, b	bart	42	m	MECHANICAL ENGINEERING AND AEROSPACE
8715228	mertens, j	johan	47	m	BIOLOGICAL SCIENCES
8716396	geldhof, p	peter	105	m	CLINICAL MEDICINE
9593568	de groof, a	anik	23	f	ASTRONOMY AND ASTROPHYSICS
9886004	knaapen, mwm	michiel	76	m	CLINICAL MEDICINE
10461480	docquier, f	frederic	49	m	ECONOMICS AND BUSINESS
10680780	kirsch-volders, m	micheline	257	f	BASIC LIFE SCIENCES
11796306	buccalderon, p	pedro	30	m	BASIC LIFE SCIENCES
12077367	suykens, jak	johan a. k.	219	m	COMPUTER SCIENCES
12093484	hertogen, j	jan	45	m	EARTH SCIENCES AND TECHNOLOGY
12367729	decort, p	paul	19	m	CLINICAL MEDICINE
12839094	toye, d	dominique	66	f	CHEMISTRY AND CHEMICAL ENGINEERING
12844637	lebbe, l	luc	38	m	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
13085038	de broyer, c	claude	32	m	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
13089616	geelen, p	peter	118	m	CLINICAL MEDICINE
13103611	dubruel, p	peter	224	m	CHEMISTRY AND CHEMICAL ENGINEERING
13615447	nicks, b	baudouin	81	m	CLINICAL MEDICINE
14160811	heyndrickx, gr	guy r.	318	m	CLINICAL MEDICINE
14627221	de meirleir, k	kenny	110	m	CLINICAL MEDICINE
14905685	depauw, l	luc	119	m	CLINICAL MEDICINE
15448337	d'hoore, a	andre	248	m	CLINICAL MEDICINE
15464783	forton, gej	glen e. j.	20	m	CLINICAL MEDICINE
16259570	lengele, b	benoit	101	m	CLINICAL MEDICINE
16536530	vanwijck, r	romain	31	m	CLINICAL MEDICINE
17352157	mulier, m	michiel	31	m	CLINICAL MEDICINE
17591077	lemaire, c	christian	130	m	BIOMEDICAL SCIENCES
19234190	decat, m	monique	13	f	CLINICAL MEDICINE
19258045	nassogne, mc	marie-cecile	96	f	CLINICAL MEDICINE
19520040	lemoine, p	pascale	27	f	BASIC LIFE SCIENCES
19521340	motte, p	patrick	39	m	BASIC LIFE SCIENCES
20317624	van den mooter, g	guy	245	m	BIOMEDICAL SCIENCES
20335772	cottenier, s	stefaan	88	m	PHYSICS AND MATERIALS SCIENCE
